iter	RMSE
0	57.80525164
1	52.79727814
2	48.27259696
3	44.30679383
4	40.45143617
5	37.061278
6	33.80496359
7	30.87403133
8	28.22837976
9	25.85376341
10	23.81818121
11	21.89040684
12	20.18221896
13	18.57059859
14	17.14199136
15	15.90142659
16	14.71389731
17	13.57428315
18	12.6413538
19	11.7690433
20	10.98389689
21	10.25454799
22	9.577495275
23	8.94499786
24	8.37631229
25	7.870797773
26	7.420287696
27	7.0108842
28	6.641541897
29	6.306402603
30	6.004136656
31	5.740989978
32	5.501092676
33	5.261163947
34	5.068361203
35	4.868045905
36	4.683485283
37	4.534923363
38	4.393380889
39	4.260802271
40	4.143637259
41	4.028304499
42	3.93082304
43	3.838630718
44	3.741565347
45	3.666061415
46	3.586661652
47	3.50672402
48	3.425385548
49	3.357713471
50	3.304579846
51	3.240882242
52	3.186214748
53	3.136544309
54	3.093306499
55	3.050176177
56	2.995462143
57	2.95308384
58	2.910446845
59	2.864989869
60	2.825783453
61	2.787974257
62	2.756240472
63	2.72370908
64	2.684484352
65	2.650387085
66	2.629527722
67	2.594416921
68	2.566975437
69	2.543726442
70	2.512480884
71	2.485017546
72	2.469648391
73	2.436228664
74	2.403255441
75	2.371921547
76	2.349813484
77	2.327005326
78	2.316942703
79	2.299442072
80	2.278654263
81	2.258729435
82	2.236784224
83	2.216557378
84	2.205346471
85	2.181445253
86	2.157915632
87	2.140814656
88	2.118539958
89	2.098175849
90	2.077165952
91	2.068044208
92	2.046913421
93	2.02543172
94	2.006831226
95	1.994564301
96	1.975186258
97	1.955501702
98	1.938758356
99	1.916911541
