iter	Passed	Remaining
0	5	539
1	10	499
2	14	484
3	19	465
4	23	454
5	28	449
6	34	462
7	39	458
8	45	458
9	50	454
10	54	442
11	62	456
12	67	450
13	72	442
14	77	437
15	82	431
16	86	422
17	90	414
18	96	409
19	100	403
20	103	390
21	109	386
22	114	383
23	120	380
24	126	380
25	176	501
26	185	501
27	197	507
28	210	514
29	254	593
30	261	581
31	269	573
32	279	567
33	291	566
34	300	558
35	309	550
36	325	553
37	357	583
38	369	577
39	389	584
40	402	579
41	464	641
42	471	625
43	485	618
44	495	606
45	508	596
46	517	583
47	523	567
48	530	552
49	537	537
50	547	525
51	553	510
52	560	496
53	568	484
54	576	471
55	582	457
56	593	447
57	600	434
58	610	424
59	620	413
60	630	403
61	640	392
62	648	380
63	654	368
64	662	356
65	668	344
66	674	332
67	681	320
68	688	309
69	699	299
70	705	288
71	712	277
72	719	265
73	725	254
74	732	244
75	738	233
76	744	222
77	753	212
78	760	202
79	765	191
80	780	183
81	787	172
82	795	163
83	802	152
84	809	142
85	815	132
86	823	123
87	830	113
88	838	103
89	851	94
90	861	85
91	869	75
92	881	66
93	891	56
94	898	47
95	903	37
96	908	28
97	913	18
98	918	9
99	923	0
