iter	RMSE
0	58.81085704
1	55.68690984
2	52.613033
3	49.80084846
4	47.22612263
5	44.7560529
6	42.35261759
7	40.15068192
8	37.9969933
9	36.05048395
10	34.23608858
11	32.56238162
12	30.87588432
13	29.3731315
14	27.89229103
15	26.49130958
16	25.19946965
17	24.01580628
18	22.8236172
19	21.7176737
20	20.67805092
21	19.70143449
22	18.76215291
23	17.89352067
24	17.08042498
25	16.28997723
26	15.5640135
27	14.85964216
28	14.21109342
29	13.6118257
30	13.03554563
31	12.49685608
32	11.96912723
33	11.47364434
34	11.01374206
35	10.5886243
36	10.19390722
37	9.800394192
38	9.43066488
39	9.091184401
40	8.759818226
41	8.456381886
42	8.174715988
43	7.890957536
44	7.639352987
45	7.407006135
46	7.163595752
47	6.947087383
48	6.746395669
49	6.54668459
50	6.357497322
51	6.188322623
52	6.027557936
53	5.874345637
54	5.723083077
55	5.588626993
56	5.456530204
57	5.327720255
58	5.211564565
59	5.098109027
60	4.991113036
61	4.900667922
62	4.821346255
63	4.7420008
64	4.660793093
65	4.577987322
66	4.501993254
67	4.417684381
68	4.342961332
69	4.275323916
70	4.208541662
71	4.149319496
72	4.091332331
73	4.029896236
74	3.985712805
75	3.929158748
76	3.872636504
77	3.828185242
78	3.787235532
79	3.748077611
80	3.699132443
81	3.659484237
82	3.619866629
83	3.571823022
84	3.540383015
85	3.498341802
86	3.458875837
87	3.422177456
88	3.392685777
89	3.357664718
90	3.326373611
91	3.287142866
92	3.26130561
93	3.240868219
94	3.211371938
95	3.188601273
96	3.163269871
97	3.133776726
98	3.109011363
99	3.077202156
100	3.047242905
101	3.020910163
102	2.998099109
103	2.981694683
104	2.967644446
105	2.943480576
106	2.917361147
107	2.894006451
108	2.876159507
109	2.848211142
110	2.834088304
111	2.818733598
112	2.806493062
113	2.786987402
114	2.758238676
115	2.73987166
116	2.730711209
117	2.70616699
118	2.690838015
119	2.667793283
120	2.655179543
121	2.637032528
122	2.624085867
123	2.610211405
124	2.58860997
125	2.570507701
126	2.550226529
127	2.53334274
128	2.519129274
129	2.503750755
130	2.488359256
131	2.470023993
132	2.457003461
133	2.443270244
134	2.42951717
135	2.415442268
136	2.397607822
137	2.376744632
138	2.35771922
139	2.341356291
140	2.32568782
141	2.312385945
142	2.3012487
143	2.29032745
144	2.275744723
145	2.259627837
146	2.246438637
147	2.232761069
148	2.217208503
149	2.20718212
150	2.192205156
151	2.180571752
152	2.169669127
153	2.155836416
154	2.144336377
155	2.131752001
156	2.120498746
157	2.108847868
158	2.102006811
159	2.095673867
160	2.087936381
161	2.077239381
162	2.069447627
163	2.058313789
164	2.051345003
165	2.046109667
166	2.037732603
167	2.023572114
168	2.014447823
169	2.007221817
170	1.996979437
171	1.987796166
172	1.97920092
173	1.969745525
174	1.961869693
175	1.953673577
176	1.945089828
177	1.933092096
178	1.92485367
179	1.916119309
180	1.909812907
181	1.90153235
182	1.895248338
183	1.883680677
184	1.878523965
185	1.870980262
186	1.864714676
187	1.859487677
188	1.849068202
189	1.836965064
190	1.829622171
191	1.821121056
192	1.813026311
193	1.803285019
194	1.792980251
195	1.78704927
196	1.778935608
197	1.771671658
198	1.764077732
199	1.758539411
200	1.746307602
201	1.74095295
202	1.733911696
203	1.722101141
204	1.71420434
205	1.707516277
206	1.699780866
207	1.694709992
208	1.688819953
209	1.682123271
210	1.671602513
211	1.666859799
212	1.66311711
213	1.657573985
214	1.651004709
215	1.641493158
216	1.634227545
217	1.629969056
218	1.623023131
219	1.617826841
220	1.613437948
221	1.608735825
222	1.603190952
223	1.593749497
224	1.583115678
225	1.577528352
226	1.570565146
227	1.565509591
228	1.5591245
229	1.55350201
230	1.549289363
231	1.541599709
232	1.537039607
233	1.532006304
234	1.524422448
235	1.520411356
236	1.513934387
237	1.509014454
238	1.503477837
239	1.498932606
240	1.490815979
241	1.485669809
242	1.480850985
243	1.476003574
244	1.470107626
245	1.465266779
246	1.459547028
247	1.4553608
248	1.451508106
249	1.446152044
250	1.440908678
251	1.436827971
252	1.431875085
253	1.427421861
254	1.424106623
255	1.42035579
256	1.412835841
257	1.408668069
258	1.404554399
259	1.40019467
260	1.395899707
261	1.391692998
262	1.387298132
263	1.383944535
264	1.379594559
265	1.37608401
266	1.369439151
267	1.363947469
268	1.356654417
269	1.353056205
270	1.347701783
271	1.342957489
272	1.339394863
273	1.333649421
274	1.329658119
275	1.326718727
276	1.323405131
277	1.318199012
278	1.311574766
279	1.308292278
280	1.305044148
281	1.300783048
282	1.295888404
283	1.293156784
284	1.290647636
285	1.285513967
286	1.281641672
287	1.278655148
288	1.275921976
289	1.273356016
290	1.270186995
291	1.267066193
292	1.264077764
293	1.261466854
294	1.257827084
295	1.254274141
296	1.249320457
297	1.247170503
298	1.244417112
299	1.241604718
300	1.238326027
301	1.234547676
302	1.2312224
303	1.227702803
304	1.22199864
305	1.216224052
306	1.213150086
307	1.208639852
308	1.203130265
309	1.20045206
310	1.196995157
311	1.193644038
312	1.190906113
313	1.18891446
314	1.185722572
315	1.182634609
316	1.179432893
317	1.175204116
318	1.171548839
319	1.168773819
320	1.165909078
321	1.163378664
322	1.161003696
323	1.157545823
324	1.154599122
325	1.151946017
326	1.148869033
327	1.144813642
328	1.142399347
329	1.140024307
330	1.13725089
331	1.134228831
332	1.129706711
333	1.126101153
334	1.124300582
335	1.122653365
336	1.11974632
337	1.117295277
338	1.114008494
339	1.111262772
340	1.109685494
341	1.107693544
342	1.102955628
343	1.100662356
344	1.097758644
345	1.095291571
