iter	Passed	Remaining
0	258	258639
1	324	162015
2	356	118569
3	371	92414
4	385	76809
5	392	64999
6	400	56858
7	407	50556
8	417	45936
9	424	41988
10	432	38876
11	440	36281
12	451	34264
13	458	32297
14	479	31470
15	494	30416
16	505	29253
17	520	28377
18	533	27530
19	551	27002
20	583	27191
21	627	27896
22	646	27465
23	658	26790
24	667	26018
25	673	25225
26	680	24513
27	687	23863
28	693	23208
29	702	22701
30	709	22176
31	718	21737
32	725	21247
33	734	20864
34	741	20454
35	750	20084
36	755	19668
37	761	19279
38	767	18921
39	773	18557
40	780	18261
41	785	17924
42	791	17605
43	798	17352
44	804	17066
45	812	16852
46	817	16585
47	824	16345
48	830	16116
49	835	15877
50	842	15681
51	848	15465
52	853	15257
53	860	15068
54	865	14869
55	870	14681
56	879	14548
57	890	14462
58	898	14327
59	914	14320
60	920	14167
61	930	14071
62	941	14003
63	946	13848
64	953	13713
65	960	13593
66	966	13452
67	973	13336
68	978	13204
69	984	13082
70	992	12988
71	1003	12929
72	1010	12833
73	1018	12742
74	1024	12630
75	1029	12517
76	1035	12415
77	1042	12318
78	1049	12240
79	1057	12164
80	1064	12078
81	1073	12018
82	1081	11943
83	1089	11885
84	1098	11825
85	1105	11753
86	1116	11718
87	1129	11706
88	1140	11670
89	1152	11656
90	1165	11637
91	1174	11589
92	1185	11558
93	1199	11564
94	1206	11496
95	1219	11481
96	1231	11459
97	1237	11389
98	1249	11373
99	1256	11309
100	1270	11306
101	1282	11290
102	1290	11237
103	1307	11264
104	1319	11248
105	1331	11231
106	1344	11222
107	1357	11210
108	1365	11160
109	1377	11146
110	1390	11133
111	1398	11088
112	1412	11085
113	1426	11088
114	1438	11073
115	1446	11025
116	1460	11021
117	1470	10987
118	1483	10982
119	1493	10948
120	1503	10923
121	1517	10918
122	1531	10922
123	1540	10884
124	1554	10881
125	1563	10847
126	1570	10794
127	1580	10767
128	1586	10713
129	1597	10690
130	1603	10638
131	1614	10616
132	1620	10564
133	1627	10518
134	1634	10471
135	1641	10425
136	1647	10377
137	1652	10323
138	1660	10283
139	1665	10233
140	1672	10187
141	1680	10156
142	1686	10108
143	1694	10075
144	1701	10031
145	1710	10003
146	1724	10007
147	1731	9965
148	1742	9954
149	1748	9906
150	1756	9876
151	1761	9829
152	1768	9789
153	1773	9744
154	1779	9698
155	1785	9661
156	1790	9615
157	1797	9580
158	1803	9538
159	1808	9493
160	1813	9451
161	1818	9409
162	1823	9365
163	1829	9323
164	1834	9283
165	1839	9241
166	1844	9201
167	1850	9163
168	1855	9124
169	1861	9087
170	1866	9048
171	1871	9011
172	1878	8977
173	1883	8940
174	1888	8902
175	1894	8868
176	1900	8835
177	1905	8799
178	1911	8767
179	1916	8732
180	1921	8696
181	1929	8672
182	1968	8790
183	2001	8877
184	2027	8929
185	2047	8962
186	2063	8972
187	2114	9133
188	2144	9200
189	2165	9233
190	2181	9240
191	2205	9281
192	2229	9323
193	2257	9378
194	2278	9404
195	2290	9395
196	2304	9393
197	2321	9404
198	2340	9421
199	2374	9496
200	2407	9570
201	2419	9557
202	2431	9544
203	2454	9578
204	2474	9597
205	2499	9633
206	2518	9648
207	2525	9617
208	2532	9585
209	2539	9551
210	2545	9518
211	2550	9480
212	2562	9466
213	2577	9467
214	2595	9477
215	2601	9442
216	2608	9412
217	2614	9377
218	2641	9420
219	2660	9432
220	2682	9455
221	2692	9437
222	2698	9403
223	2710	9388
224	2717	9359
225	2724	9331
226	2730	9298
227	2738	9271
228	2744	9240
229	2756	9229
230	2770	9221
231	2796	9256
232	2821	9286
233	2855	9348
234	2883	9387
235	2909	9420
236	2952	9504
237	2965	9495
238	2978	9482
239	2995	9485
240	3023	9520
241	3053	9565
242	3069	9560
243	3097	9597
244	3124	9628
245	3150	9655
246	3183	9704
247	3209	9731
248	3230	9744
249	3244	9734
250	3261	9733
251	3277	9727
252	3324	9815
253	3354	9851
254	3375	9860
255	3394	9865
256	3415	9873
257	3430	9866
258	3448	9865
259	3466	9864
260	3481	9857
261	3500	9859
262	3532	9897
263	3545	9884
264	3594	9970
265	3652	10078
266	3666	10065
267	3680	10051
268	3727	10129
269	3744	10125
270	3782	10174
271	3848	10301
272	3868	10302
273	3898	10329
274	3944	10398
275	3961	10390
276	3988	10411
277	4009	10413
278	4028	10411
279	4043	10396
280	4071	10418
281	4088	10409
282	4113	10421
